gene_stable_id,gene_name
ENSG00000164045,CDC25A
ENSG00000143476,DTL
ENSG00000156802,ATAD2
ENSG00000166508,MCM7
ENSG00000073111,MCM2
ENSG00000144354,CDCA7
ENSG00000112118,MCM3
ENSG00000149554,CHEK1
ENSG00000075131,TIPIN
ENSG00000092470,WDR76
ENSG00000077514,POLD3
ENSG00000198056,PRIM1
ENSG00000076003,MCM6
ENSG00000116062,MSH6
ENSG00000104738,MCM4
ENSG00000137310,TCF19
ENSG00000181938,GINS3
ENSG00000068489,PRR11
ENSG00000131351,HAUS8
ENSG00000163918,RFC4
ENSG00000167670,CHAF1A
ENSG00000095002,MSH2
ENSG00000085999,RAD54L
ENSG00000177917,ARL6IP6
ENSG00000136492,BRIP1
ENSG00000137337,MDC1
ENSG00000175305,CCNE2
ENSG00000076248,UNG
ENSG00000197299,BLM
ENSG00000131153,GINS2
ENSG00000051180,RAD51
ENSG00000198924,DCLRE1A
ENSG00000276043,UHRF1
ENSG00000184445,KNTC1
ENSG00000080839,RBL1
ENSG00000111602,TIMELESS
ENSG00000093009,CDC45
ENSG00000124795,DEK
ENSG00000080345,RIF1
ENSG00000094804,CDC6
ENSG00000101412,E2F1
ENSG00000092853,CLSPN
ENSG00000123374,CDK2
ENSG00000014138,POLA2
ENSG00000137770,CTDSPL2
ENSG00000130816,DNMT1
ENSG00000146263,MMS22L
ENSG00000166197,NOLC1
ENSG00000108055,SMC3
ENSG00000136527,TRA2B
ENSG00000105011,ASF1B
ENSG00000097046,CDC7
ENSG00000106462,EZH2
ENSG00000135913,USP37
ENSG00000165244,ZNF367
ENSG00000143493,INTS7
ENSG00000100714,MTHFD1
ENSG00000153044,CENPH
ENSG00000103995,CEP152
ENSG00000025770,NCAPH2
ENSG00000113569,NUP155
ENSG00000177084,POLE
ENSG00000128708,HAT1
ENSG00000152193,RNF219
ENSG00000176208,ATAD5
ENSG00000009954,BAZ1B
ENSG00000144580,RQCD1
ENSG00000166803,KIAA0101
ENSG00000112312,GMNN
ENSG00000167325,RRM1
ENSG00000152795,HNRNPDL
ENSG00000035928,RFC1
ENSG00000155561,NUP205
ENSG00000253729,PRKDC
ENSG00000106144,CASP2
ENSG00000118412,CASP8AP2
ENSG00000119969,HELLS
ENSG00000108424,KPNB1
ENSG00000166037,CEP57
ENSG00000103495,MAZ
ENSG00000099901,RANBP1
ENSG00000166881,TMEM194A
ENSG00000101407,TTI1
ENSG00000166483,WEE1
ENSG00000278637,HIST1H4A
ENSG00000141905,NFIC
ENSG00000004455,AK2
ENSG00000204536,CCHCR1
ENSG00000055044,NOP58
