gene_stable_id,gene_name
ENSG00000112742,TTK
ENSG00000198901,PRC1
ENSG00000087586,AURKA
ENSG00000143228,NUF2
ENSG00000145386,CCNA2
ENSG00000134057,CCNB1
ENSG00000138160,KIF11
ENSG00000137807,KIF23
ENSG00000088325,TPX2
ENSG00000100526,CDKN3
ENSG00000117724,CENPF
ENSG00000121621,KIF18A
ENSG00000161800,RACGAP1
ENSG00000112029,FBXO5
ENSG00000157456,CCNB2
ENSG00000115163,CENPA
ENSG00000024526,DEPDC1
ENSG00000142945,KIF2C
ENSG00000143401,ANP32E
ENSG00000066279,ASPM
ENSG00000178999,AURKB
ENSG00000117399,CDC20
ENSG00000184661,CDCA2
ENSG00000118193,KIF14
ENSG00000156802,ATAD2
ENSG00000112984,KIF20A
ENSG00000126787,DLGAP5
ENSG00000158402,CDC25C
ENSG00000134690,CDCA8
ENSG00000135476,ESPL1
ENSG00000072571,HMMR
ENSG00000175063,UBE2C
ENSG00000169607,CKAP2L
ENSG00000137804,NUSAP1
ENSG00000123485,HJURP
ENSG00000149503,INCENP
ENSG00000076382,SPAG5
ENSG00000068489,PRR11
ENSG00000188486,H2AFX
ENSG00000136122,BORA
ENSG00000164104,HMGB2
ENSG00000114346,ECT2
ENSG00000104147,OIP5
ENSG00000140451,PIF1
ENSG00000170312,CDK1
ENSG00000138182,KIF20B
ENSG00000108106,UBE2S
ENSG00000173456,RNF26
ENSG00000186185,KIF18B
ENSG00000122565,CBX3
ENSG00000148835,TAF5
ENSG00000122566,HNRNPA2B1
ENSG00000204899,MZT1
ENSG00000182628,SKA2
ENSG00000116560,SFPQ
ENSG00000166483,WEE1
ENSG00000069275,NUCKS1
ENSG00000170584,NUDCD2
ENSG00000112983,BRD8
ENSG00000204568,MRPS18B
ENSG00000196787,HIST1H2AG
ENSG00000104756,KCTD9
ENSG00000198919,DZIP3
ENSG00000204569,PPP1R10
ENSG00000156970,BUB1B
ENSG00000111665,CDCA3
ENSG00000166851,PLK1
ENSG00000090889,KIF4A
ENSG00000123473,STIL
ENSG00000117650,NEK2
ENSG00000011426,ANLN
ENSG00000169679,BUB1
ENSG00000075218,GTSE1
ENSG00000148773,MKI67
ENSG00000163535,SGOL2
ENSG00000113368,LMNB1
ENSG00000120334,CENPL
ENSG00000129810,SGOL1
ENSG00000113810,SMC4
ENSG00000152253,SPC25
ENSG00000140534,TICRR
ENSG00000122966,CIT
ENSG00000128944,KNSTRN
ENSG00000135451,TROAP
ENSG00000137135,ARHGEF39
ENSG00000101447,FAM83D
ENSG00000163808,KIF15
ENSG00000109805,NCAPG
ENSG00000119403,PHF19
ENSG00000138092,CENPO
ENSG00000213390,ARHGAP19
ENSG00000163507,KIAA1524
ENSG00000010292,NCAPD2
ENSG00000164754,RAD21
ENSG00000173207,CKS1B
ENSG00000164032,H2AFZ
ENSG00000131747,TOP2A
ENSG00000175216,CKAP5
ENSG00000197061,HIST1H4C
ENSG00000164611,PTTG1
ENSG00000182481,KPNA2
ENSG00000178074,C2ORF69
ENSG00000106355,LSM5
ENSG00000094916,CBX5
ENSG00000136108,CKAP2
ENSG00000183765,CHEK2
ENSG00000101639,CEP192
ENSG00000117593,DARS2
ENSG00000152359,POC5
ENSG00000116830,TTF2
ENSG00000163257,DCAF16
ENSG00000129355,CDKN2D
ENSG00000172432,GTPBP2
ENSG00000068885,IFT80
ENSG00000110958,PTGES3
ENSG00000105325,FZR1
ENSG00000184270,HIST2H2AB
ENSG00000171456,ASXL1
ENSG00000135486,HNRNPA1
ENSG00000189159,HN1
ENSG00000109920,FNBP4
ENSG00000180596,HIST1H2BC
ENSG00000177426,TGIF1
ENSG00000138180,CEP55
ENSG00000164109,MAD2L1
ENSG00000080986,NDC80
ENSG00000121152,NCAPH
ENSG00000121957,GPSM2
ENSG00000035499,DEPDC1B
ENSG00000129195,FAM64A
ENSG00000138778,CENPE
ENSG00000237649,KIFC1
ENSG00000151466,SCLT1
ENSG00000077152,UBE2T
ENSG00000137337,MDC1
ENSG00000129534,MIS18BP1
ENSG00000123975,CKS2
ENSG00000183856,IQGAP3
ENSG00000168411,RFWD3
ENSG00000108055,SMC3
ENSG00000161692,DBF4B
ENSG00000106462,EZH2
ENSG00000166004,CEP295
ENSG00000123080,CDKN2C
ENSG00000170540,ARL6IP1
ENSG00000176208,ATAD5
ENSG00000172244,C5ORF34
ENSG00000186638,KIF24
ENSG00000101574,METTL4
ENSG00000110713,NUP98
ENSG00000187951,ARHGAP11B
ENSG00000167553,TUBA1C
ENSG00000171681,ATF7IP
ENSG00000114107,CEP70
ENSG00000274267,HIST1H3B
ENSG00000213347,MXD3
ENSG00000146410,MTFR2
ENSG00000185480,PARPBP
ENSG00000277224,HIST1H2BF
ENSG00000197409,HIST1H3D
ENSG00000160299,PCNT
ENSG00000130204,TOMM40
ENSG00000100578,KIAA0586
ENSG00000105968,H2AFV
ENSG00000255152,MSH5-SAPCD1
ENSG00000086200,IPO11
ENSG00000277075,HIST1H2AE
ENSG00000275221,HIST1H2AK
ENSG00000100242,SUN2
ENSG00000111530,CAND1
ENSG00000154473,BUB3
ENSG00000162599,NFIA
ENSG00000100401,RANGAP1
ENSG00000127483,HP1BP3
ENSG00000166833,NAV2
ENSG00000183955,SETD8
ENSG00000165527,ARF6
ENSG00000170860,LSM3
ENSG00000189091,SF3B3
ENSG00000213593,TMX2
ENSG00000072864,NDE1
ENSG00000078304,PPP2R5C
ENSG00000151247,EIF4E
ENSG00000197279,ZNF165
ENSG00000172795,DCP2
ENSG00000125898,FAM110A
ENSG00000158373,HIST1H2BD
ENSG00000196866,HIST1H2AD
ENSG00000172071,EIF2AK3
ENSG00000162616,DNAJB4
ENSG00000166949,SMAD3
ENSG00000089685,BIRC5
ENSG00000162063,CCNF
ENSG00000164045,CDC25A
ENSG00000143476,DTL
ENSG00000134222,PSRC1
ENSG00000013810,TACC3
ENSG00000198826,ARHGAP11A
ENSG00000142731,PLK4
ENSG00000146670,CDCA5
ENSG00000129173,E2F8
ENSG00000139354,GAS2L3
ENSG00000085999,RAD54L
ENSG00000006634,DBF4
ENSG00000162607,USP1
ENSG00000166451,CENPN
ENSG00000101224,CDC25B
ENSG00000143815,LBR
ENSG00000171848,RRM2
ENSG00000163002,NUP35
ENSG00000058804,NDC1
ENSG00000171320,ESCO2
ENSG00000198331,HYLS1
ENSG00000058056,USP13
ENSG00000138658,ZGRF1
