gene_stable_id,gene_name
ENSG00000196072,BLOC1S2
ENSG00000124762,CDKN1A
ENSG00000080546,SESN1
ENSG00000078237,C12ORF5
ENSG00000167196,FBXO22
ENSG00000135679,MDM2
ENSG00000185088,RPS27L
ENSG00000120889,TNFRSF10B
ENSG00000134574,DDB2
ENSG00000048392,RRM2B
ENSG00000151065,DCP1B
ENSG00000173846,PLK3
ENSG00000026103,FAS
ENSG00000116717,GADD45A
ENSG00000112245,PTP4A1
ENSG00000107796,ACTA2
ENSG00000105327,BBC3
ENSG00000170855,TRIAP1
ENSG00000145632,PLK2
ENSG00000124067,SLC12A4
ENSG00000057657,PRDM1
ENSG00000181026,AEN
ENSG00000087088,BAX
ENSG00000131080,EDA2R
ENSG00000181467,RAP2B
ENSG00000224877,C17ORF89
ENSG00000159388,BTG2
ENSG00000164938,TP53INP1
ENSG00000172667,ZMAT3
ENSG00000112249,ASCC3
ENSG00000113328,CCNG1
ENSG00000174307,PHLDA3
ENSG00000196576,PLXNB2
ENSG00000132274,TRIM22
ENSG00000138271,GPR87
ENSG00000137449,CPEB2
ENSG00000128342,LIF
ENSG00000170734,POLH
ENSG00000154767,XPC
ENSG00000130513,GDF15
ENSG00000170836,PPM1D
ENSG00000164125,FAM198B
ENSG00000109670,FBXW7
ENSG00000197019,SERTAD1
ENSG00000076604,TRAF4
ENSG00000054148,PHPT1
ENSG00000135778,NTPCR
ENSG00000165804,ZNF219
ENSG00000144452,ABCA12
ENSG00000162496,DHRS3
ENSG00000176046,NUPR1
ENSG00000105650,PDE4C
ENSG00000130684,ZNF337
ENSG00000170385,SLC30A1
ENSG00000177595,PIDD1
ENSG00000148219,ASTN2
ENSG00000177106,EPS8L2
ENSG00000171469,ZNF561
ENSG00000064115,TM7SF3
ENSG00000167904,TMEM68
ENSG00000100949,RABGGTA
ENSG00000136048,DRAM1
ENSG00000164331,ANKRA2
ENSG00000100647,SUSD6
ENSG00000130766,SESN2
ENSG00000111725,PRKAB1
ENSG00000175938,ORAI3
ENSG00000196152,ZNF79
ENSG00000131669,NINJ1
ENSG00000165891,E2F7
ENSG00000167302,ENTHD2
ENSG00000009413,REV3L
ENSG00000100796,SMEK1
ENSG00000132646,PCNA
ENSG00000105372,RPS19
ENSG00000196754,S100A2
ENSG00000176912,TYMSOS
ENSG00000127129,EDN2
ENSG00000160789,LMNA
ENSG00000104783,KCNN4
ENSG00000157107,FCHO2
ENSG00000102858,MGRN1
ENSG00000101198,NKAIN4
ENSG00000119401,TRIM32
ENSG00000187013,C17ORF82
ENSG00000159339,PADI4
ENSG00000100298,APOBEC3H
ENSG00000108384,RAD51C
ENSG00000141682,PMAIP1
ENSG00000182704,TSKU
ENSG00000197191,CYSRT1
ENSG00000233276,GPX1
ENSG00000137574,TGS1
ENSG00000163071,SPATA18
ENSG00000196704,AMZ2
ENSG00000175793,SFN
ENSG00000167992,VWCE
ENSG00000213523,SRA1
ENSG00000063660,GPC1
ENSG00000123384,LRP1
ENSG00000205978,NYNRIN
ENSG00000136003,ISCU
ENSG00000115129,TP53I3
ENSG00000158055,GRHL3
ENSG00000166130,IKBIP
ENSG00000152782,PANK1
ENSG00000120868,APAF1
ENSG00000164070,HSPA4L
ENSG00000162241,SLC25A45
ENSG00000168497,SDPR
ENSG00000114480,GBE1
ENSG00000137500,CCDC90B
ENSG00000164237,CMBL
ENSG00000005469,CROT
ENSG00000172890,NADSYN1
ENSG00000196562,SULF2
ENSG00000184371,CSF1
ENSG00000116514,RNF19B
ENSG00000131791,PRKAB2
ENSG00000124098,FAM210B
ENSG00000276023,DUSP14
ENSG00000206075,SERPINB5
ENSG00000163453,IGFBP7
ENSG00000069020,MAST4
ENSG00000171444,MCC
ENSG00000177076,ACER2
ENSG00000104689,TNFRSF10A
ENSG00000177551,NHLH2
ENSG00000176014,TUBB6
ENSG00000165895,ARHGAP42
ENSG00000031698,SARS
ENSG00000115657,ABCB6
ENSG00000184254,ALDH1A3
ENSG00000087077,TRIP6
ENSG00000166275,C10ORF32
ENSG00000124171,PARD6B
ENSG00000182175,RGMA
ENSG00000127955,GNAI1
ENSG00000110900,TSPAN11
ENSG00000089693,MLF2
ENSG00000115183,TANC1
ENSG00000180694,TMEM64
ENSG00000147853,AK3
ENSG00000143479,DYRK3
ENSG00000186226,LCE1E
ENSG00000198948,MFAP3L
ENSG00000106366,SERPINE1
ENSG00000185668,POU3F1
ENSG00000171862,PTEN
ENSG00000168061,SAC3D1
ENSG00000161513,FDXR
ENSG00000114270,COL7A1
ENSG00000204580,DDR1
ENSG00000149547,EI24
ENSG00000089486,CDIP1
ENSG00000197852,FAM212B
ENSG00000170835,CEL
ENSG00000103742,IGDCC4
ENSG00000186635,ARAP1
ENSG00000178567,EPM2AIP1
ENSG00000010030,ETV7
ENSG00000139625,MAP3K12
ENSG00000149792,MRPL49
